Lithuanian,Spanish
ir,y
aš,Yo
tai,este
kad,eso
tu,tú
ne,No
taip,Sí
jis,él
ką,qué
čia,aquí
į,a
kaip,cómo
su,con
ar,o
o,Vaya
man,a mi
kas,qué
gerai,OK
mano,mi
bet,pero
iš,de
mes,nosotros
tik,solo
tau,A usted
ji,ella
yra,es
jei,si
jie,ellos
tavo,tuyo
buvo,era
savo,propio
kur,dónde
kai,cuando
dar,todavía
mane,a mí
jūs,tú
dabar,ahora
apie,acerca de
viskas,eso es todo
jį,a él
tave,tú
jo,su
jau,ya
labai,muy
to,eso
ten,allá
reikia,necesidad
už,para
turi,tener
kodėl,por qué
po,después
nieko,nada
dėl,porque
mūsų,nuestro
per,a través de
nors,aunque
gali,poder
gal,tal vez
na,Bueno
jūsų,su
tikrai,en realidad
ačiū,gracias
nori,desear
ko,qué
nuo,de
turiu,tengo
bus,será
jos,su
štai,aquí
manęs,a mí
ją,su
būti,ser
mums,para nosotros
jam,a él
jums,A usted
nes,porque
visi,todos
noriu,deseo
juk,después de todo
žinai,sabes
pone,Señor
ei,ey
tiesiog,simplemente
tavęs,tú
žinau,Sé
tą,eso
nagi,vamos
nėra,no hay
ant,en
daug,mucho
viską,todo
tas,eso
tada,entonces
prie,a
iki,hasta
labas,Hola
jų,su
nežinau,no sé
prašau,por favor
juos,a ellos